Invariant Parameters
w_rot,1
N_iter,200
inv_type,timebased
w_deriv,[0.001 0.001 0.001 0.01  0.001 0.001]
h,0.04950495049504951
w_abs,[1.e-10 1.e-10 1.e-10 1.e-10]
w_pos,1
END
U1,U2,U3,U4,U5,U6
0.0004944364614539525,7.230399080650802,-0.008642954966012256,0.040403772194619554,-6.37945506389558e-30,-4.5872989052155636e-05
0.0002933603371358813,7.230399603659976,-0.008642939085178311,0.04040264765882338,-6.307171975062726e-30,-4.587299427543949e-05
0.00020520561345026457,7.230400575910562,-0.008642907884732935,0.040401450572471326,-6.164471917883983e-30,-4.5873004695282336e-05
0.00017503110039001927,7.23040193864322,-0.008642862319723473,0.04040058404285867,-5.9555613920342304e-30,-4.5873020282451784e-05
0.00016282707180790816,7.230403642790607,-0.008642803613286003,0.040400095705034625,-5.686493223417331e-30,-4.587304100515504e-05
0.00015756926881837016,7.230405645978996,-0.008642733117704299,0.040399890089351354,-5.364703223430467e-30,-4.587306682897393e-05
0.00015694333263230857,7.230407911857934,-0.008642652165828945,0.04039984829304713,-4.9985824112246715e-30,-4.5873097716788186e-05
0.0001594428430895333,7.230410409446321,-0.0086425619340443,0.0403998783621797,-4.597090117568859e-30,-4.587313362868765e-05
0.00016378585551163135,7.2304131122293125,-0.008642463341770526,0.04039992552775535,-4.169411775263536e-30,-4.587317452187371e-05
0.00016890862395806168,7.230415997175834,-0.008642357004675293,0.04039996483236147,-3.7246631795571726e-30,-4.587322035055159e-05
0.00017385840885621133,7.2304190437554725,-0.008642243248888988,0.040399989569193794,-3.271641150867997e-30,-4.587327106581339e-05
0.00017793446868664568,7.23042223302988,-0.00864212218243144,0.040400001649004015,-2.8186194353751274e-30,-4.587332661551309e-05
0.0001808173491515688,7.230425546939311,-0.008641993809598243,0.0404000055378917,-2.37318773305638e-30,-4.587338694413432e-05
0.0001825112904395292,7.230428967854114,-0.008641858167371877,0.04040000529719961,-1.942131096479654e-30,-4.5873451992650535e-05
0.00018321229138342182,7.230432478376438,-0.008641715460733416,0.04040000363076015,-1.5313465575389746e-30,-4.5873521698378426e-05
0.00018319513942199599,7.230436061330353,-0.008641566175009142,0.040400001944090325,-1.1457935424075072e-30,-4.587359599482547e-05
0.00018273738449596104,7.230439699868568,-0.008641411147208736,0.04040000075290062,-7.894744283161684e-31,-4.5873674811532424e-05
0.00018207477416952642,7.230443377632589,-0.008641251584132995,0.04040000009649353,-4.654414714135663e-31,-4.5873758073911776e-05
0.00018138149620704658,7.230447078919006,-0.008641089022304255,0.0403999998296962,-1.75826291993842e-31,-4.587384570308316e-05
0.00018076832236429334,7.2304507888218055,-0.00864092523269924,0.04039999978371766,7.811186202754648e-32,-4.587393761570685e-05
0.00018029142488472377,7.230454493335675,-0.00864076208103117,0.040399999831520886,2.9592274713482286e-31,-4.5874033723816615e-05
0.0001799657968483478,7.230458179416486,-0.008640601360923157,0.04039999989908129,4.778901585594113e-31,-4.5874133934653036e-05
0.00017977924130486926,7.230461835002364,-0.00864044462186234,0.040399999953665625,6.249486562596227e-31,-4.587423815049885e-05
0.0001797046775746319,7.230465449002634,-0.00864029301561034,0.04039999998727225,7.385950143308876e-31,-4.587434626851762e-05
0.0001797097264812146,7.230469011263313,-0.008640147183380388,0.04040000000325322,8.207971384861862e-31,-4.587445818059749e-05
0.00017976331798079203,7.230472512517624,-0.008640007201602887,0.04040000000807853,8.739028450173296e-31,-4.587457377320157e-05
0.00017983954834313232,7.230475944328644,-0.008639872596951613,0.040400000007419994,9.005506333652341e-31,-4.58746929272268e-05
